;ChannelName;ChannelID;VideoID;Titulo;Artist;PublishDate;PublishTime;ViewsCount;LikeCount;FavoriteCount;CommentCount
3192;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;gdH8fZg0xBI;Menos ansiedade - Yoga Mudra por Raissa Zoccal;Menos ansiedade;2020-06-29;23:00:12Z;57955.0;2043.0;0.0;60.0
3193;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;oZ4fRD5El5w;Warner Music Entrou na Sala - Nico Rezende;Warner Music Entrou na Sala;2020-06-29;21:00:29Z;758.0;40.0;0.0;3.0
3194;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;a6C0sxn5Pho;Live Warner Music Brasil / AME sem Moderação - Orgulho LGBTQIAP+;Live Warner Music Brasil / AME sem Moderação;2020-06-28;02:53:18Z;4097.0;227.0;0.0;0.0
3195;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;lTJdP4aYIgw;Mad Dogz, Lara Silva e Thiaguinho MT - Vai Ficar Querendo (Clipe Oficial);Mad Dogz, Lara Silva e Thiaguinho MT;2020-06-26;18:00:16Z;17938697.0;447050.0;0.0;6873.0
3196;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;H78tQhzTTnk;Warner Music Entrou na Sala - Olodum;Warner Music Entrou na Sala;2020-06-22;21:00:05Z;577.0;33.0;0.0;2.0
3197;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;eceZCPEIoRM;Mad Dogz e Danny - PPK (Clipe Oficial);Mad Dogz e Danny;2020-06-22;19:56:30Z;504450.0;388.0;0.0;30.0
3198;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;6ZnDK-0y094;#HANGAR • 4 • Caio Nunez - Ancorar;#HANGAR • 4 • Caio Nunez;2020-06-19;21:00:00Z;62948.0;489.0;0.0;92.0
3199;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;TMjTZeEdju8;Papatinho, L7nnon e Babu Santana - Morrão (Making Of);Papatinho, L7nnon e Babu Santana;2020-06-12;20:00:42Z;2909.0;180.0;0.0;7.0
3200;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;8bH3120zCEI;PARTYNEXTDOOR, Rihanna - Believe It (Letra Traduzida);PARTYNEXTDOOR, Rihanna;2020-06-10;14:00:02Z;9476.0;418.0;0.0;6.0
3201;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;L9jkdqYXyyE;Warner Music Entrou na Sala - Tiê Live;Warner Music Entrou na Sala;2020-06-08;21:00:06Z;599.0;39.0;0.0;1.0
3202;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;p4-ofupCbcI;UM44K - Me Namora (WMBR Music);UM44K;2020-06-04;21:00:09Z;9855.0;468.0;0.0;14.0
3203;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;99qFOP-7TvQ;Tones and I - You're so F**king Cool (Legendado PT-BR);Tones and I;2020-06-04;20:00:02Z;24190.0;674.0;0.0;23.0
3204;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;VMtCjOuUBnM;WMBR Music - UM44K;WMBR Music;2020-06-03;21:00:12Z;61700.0;2412.0;0.0;96.0
3205;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;6C9L3Ze_hgM;Giulia Be - (Não) Era Amor (Clipe Vertical);Giulia Be;2020-05-29;23:00:01Z;21437.0;1182.0;0.0;45.0
3206;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;NKrJs9KElIw;#HANGAR • 3 •  Filipe Aversa - Céu e Inferno;#HANGAR • 3 •  Filipe Aversa;2020-05-29;21:00:12Z;60882.0;258.0;0.0;110.0
3207;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;_CftFDfwUPQ;Sia - Together (Legendado PT-BR);Sia;2020-05-28;14:55:14Z;11994.0;611.0;0.0;26.0
3208;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;tLTRuhmEPiM;Warner Music Entrou na Sala - Bliss Live;Warner Music Entrou na Sala;2020-05-28;00:00:07Z;1002.0;11.0;0.0;1.0
3209;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;Im2kadAGOug;Lizzo - Juice (Ao vivo no YouTube Music Night, Rio de Janeiro);Lizzo;2020-05-27;14:08:40Z;62129.0;4197.0;0.0;105.0
3210;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;qoTAm4yA9jE;Lizzo - Truth Hurts (Ao vivo no YouTube Music Night, Rio de Janeiro);Lizzo;2020-05-27;14:07:54Z;379575.0;1878.0;0.0;45.0
3211;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;Lp2epvIfQyA;Lizzo - Boys (Ao vivo no YouTube Music Night, Rio de Janeiro);Lizzo;2020-05-27;14:07:30Z;17605.0;720.0;0.0;16.0
3212;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;sLuuOt7cLz8;Lizzo - Cuz I Love You (Ao vivo no YouTube Music Night, Rio de Janeiro);Lizzo;2020-05-27;14:07:01Z;180992.0;1028.0;0.0;39.0
3213;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;E5ptSEPoV54;Lizzo - Good as Hell (Ao vivo no YouTube Music Night, Rio de Janeiro);Lizzo;2020-05-27;14:00:11Z;202823.0;2420.0;0.0;59.0
3214;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;elpIpIVUj7w;YouTube Music Night: Lizzo, Rio De Janeiro (Teaser);YouTube Music Night: Lizzo, Rio De Janeiro (Teaser);2020-05-25;14:18:26Z;3427.0;238.0;0.0;9.0
3215;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;N5LHFS3xbv8;#HANGAR • 2 • Filipe Papi - Deja Vu;#HANGAR • 2 • Filipe Papi;2020-05-22;21:00:06Z;197449.0;3140.0;0.0;310.0
3216;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;wMb5hRB_Azo;IZA feat Maejor - Let Me Be the One (Letra Oficial);IZA feat Maejor;2020-05-21;03:02:11Z;283618.0;10053.0;0.0;374.0
3217;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;FNi88NuuYZ4;Warner Music Entrou na Sala - Sula Miranda Live;Warner Music Entrou na Sala;2020-05-20;23:00:04Z;715.0;43.0;0.0;2.0
3218;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;djRYZTZaIzA;Warner Music Entrou na Sala - Salgadinho Live;Warner Music Entrou na Sala;2020-05-18;22:00:24Z;1454.0;37.0;0.0;0.0
3219;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;s7-gLJrUm4o;Papatinho por Papatinho em 4 MINUTOS (ou menos);Papatinho por Papatinho em 4 MINUTOS (ou menos);2020-05-18;17:00:30Z;5294.0;117.0;0.0;6.0
3220;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;tNe1PxH-788;Bibi Saboia - Pq Eu Te Amo (Clipe Oficial);Bibi Saboia;2020-05-15;21:24:04Z;3945.0;211.0;0.0;16.0
3221;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;0hyMuNmOt4k;MC Biel PDR - Papel de Ex (Clipe Oficial)(explícito);MC Biel PDR;2020-05-15;17:22:35Z;455747.0;1096.0;0.0;85.0
3222;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;9dQmTAjaUgE;Hayley Williams - Dead Horse (Legendado PT-BR);Hayley Williams;2020-05-15;14:00:02Z;5769.0;306.0;0.0;20.0
3223;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;pi-TE1PeTi8;Giulia Be - Recaída (Letra Oficial);Giulia Be;2020-05-15;04:43:14Z;457156.0;10951.0;0.0;87.0
3224;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;sml9h3TljTg;João Gustavo & Murilo - Casa Mais Feliz da Rua (WMBR Music);João Gustavo & Murilo;2020-05-14;21:00:24Z;223257.0;182.0;0.0;5.0
3225;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;tIdHwSx8kVI;João Gustavo & Murilo - Shape of You e Morena;João Gustavo & Murilo;2020-05-14;21:00:23Z;742.0;22.0;0.0;0.0
3226;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;rtMAtVJbkyc;João Gustavo & Murilo - Caçador de Bocas (WMBR Music);João Gustavo & Murilo;2020-05-14;21:00:15Z;1560.0;32.0;0.0;0.0
3227;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;2nbyr9iszKs;WMBR Music - João Gustavo & Murilo;WMBR Music;2020-05-13;21:00:11Z;151374.0;228.0;0.0;19.0
3228;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;zxIgo9GG_mg;Assinatura de contrato Long Beatz;Assinatura de contrato Long Beatz;2020-05-13;18:10:23Z;1796.0;95.0;0.0;10.0
3229;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;VNbvk9QgIqQ;Stephanie Ray - Here with me  (8D Audio);Stephanie Ray;2020-05-08;15:00:17Z;2731.0;131.0;0.0;7.0
3230;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;CWLw4RGlC8c;Stephanie Ray - More Than I can Take  (8D Audio);Stephanie Ray;2020-05-08;15:00:07Z;5748.0;154.0;0.0;12.0
3231;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;3LMGPdPSt7E;Stephanie Ray - Games U Play  (8D Audio);Stephanie Ray;2020-05-08;15:00:01Z;4601.0;129.0;0.0;4.0
3232;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;wau-vUaZDbU;Bazzi - Young and Alive (Legendado PT-BR);Bazzi;2020-05-01;17:44:40Z;2298.0;120.0;0.0;3.0
3233;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;FjsnfBUy070;Assinatura de Contrato Marvvila;Assinatura de Contrato Marvvila;2020-04-27;22:20:44Z;2468.0;131.0;0.0;6.0
3234;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;WVnBu-QDTZw;Alec Benjamin - Oh My God (Legendado PT-BR);Alec Benjamin;2020-04-24;17:00:16Z;2377.0;95.0;0.0;5.0
3235;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;lUEKhCnaYQ8;50 Fatos - Papatinho;50 Fatos;2020-04-21;21:33:21Z;10561.0;530.0;0.0;25.0
3236;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;D39bGP4pYFc;Level of Concern - twenty one pilots (Legendado PT-BR);Level of Concern;2020-04-17;14:06:31Z;17539.0;1107.0;0.0;31.0
3237;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;kWkU1w1UiG4;PK feat. Becky G e Gabily - Vai Danada (LETRA OFICIAL);PK feat. Becky G e Gabily;2020-04-17;03:00:48Z;36332.0;2551.0;0.0;197.0
3238;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;zGhkyjjU-_g;Explicando a Música - Pirata, da Samantha Machado;Explicando a Música;2020-04-14;14:00:21Z;11637.0;1494.0;0.0;49.0
3239;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;dLJ3RRMZcac;50 fatos sobre Tones and I;50 fatos sobre Tones and I;2020-04-13;14:00:25Z;6227.0;429.0;0.0;15.0
3240;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;7xpqyghngE0;Mad Dogz - Ao Vivo (Warner Music Entrou na Sala);Mad Dogz;2020-04-11;01:43:36Z;5960.0;229.0;0.0;3.0
3241;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;t1gnHvWhv48;Giulia Be - Chega (WMBR Music);Giulia Be;2020-04-09;21:00:18Z;288052.0;1112.0;0.0;42.0
3242;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;uNGl8F5Hgtc;Giulia Be - Too Bad (WMBR Music);Giulia Be;2020-04-09;21:00:18Z;8361.0;430.0;0.0;15.0
3243;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;piJ8jS3IiVw;Giulia Be - Downtown (WMBR Music);Giulia Be;2020-04-09;21:00:16Z;12975.0;482.0;0.0;24.0
3244;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;P4grkChmubo;WMBR Music - Giulia Be;WMBR Music;2020-04-08;21:00:12Z;320834.0;1649.0;0.0;68.0
3245;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;_Z-31N20IYQ;Ava Max - Kings & Queens (Legendado PT-BR);Ava Max;2020-04-08;20:00:14Z;52332.0;1260.0;0.0;68.0
